,0
0,-9773.996
1,-9950.996
2,-10090.5
3,-9941.496
4,-10099.0
5,-10152.75
6,-10023.5
7,-9910.996
8,-9907.496
9,-9727.996
10,-9944.996
11,-10067.5
12,-10447.5
13,-10768.75
14,-10849.75
15,-11089.25
16,-11333.0
17,-10997.5
18,-11240.0
19,-11271.0
20,-11346.5
21,-11306.0
22,-11161.0
23,-10845.5
24,-10637.5
25,-10626.25
26,-10499.0
27,-10525.0
28,-10544.25
29,-10640.5
30,-10759.75
31,-10717.75
32,-10726.25
33,-10638.5
34,-10681.75
35,-10826.5
36,-10617.0
37,-10386.75
38,-10373.5
39,-10713.25
40,-10836.75
41,-10630.75
42,-10669.25
43,-10504.0
44,-10370.25
45,-10579.25
46,-10705.25
47,-10666.5
48,-10480.75
49,-10561.75
50,-10569.0
51,-10955.5
52,-11035.0
53,-10980.75
54,-11058.0
55,-10846.75
56,-11199.25
57,-11090.5
58,-11162.0
59,-11269.75
60,-11254.0
61,-11204.75
62,-11136.0
63,-11613.0
64,-11553.5
65,-11376.25
66,-11275.5
67,-11394.75
68,-11565.5
69,-11837.75
70,-11659.25
71,-11547.75
72,-11301.5
73,-11279.25
74,-11401.0
75,-11490.25
76,-11773.0
77,-11842.25
78,-12064.75
79,-11815.0
80,-11553.5
81,-11583.0
82,-11232.25
83,-11277.25
84,-11286.5
85,-11144.0
86,-11075.0
87,-11111.25
88,-11152.75
89,-11147.5
90,-11233.5
91,-11200.5
92,-11141.25
93,-11087.5
94,-11343.75
95,-11697.25
96,-11598.25
97,-11734.25
98,-11329.5
99,-11386.25
100,-11529.75
101,-11600.0
102,-11650.75
103,-11719.5
104,-11608.0
105,-11827.0
106,-12090.75
107,-12387.25
108,-12629.75
109,-12515.0
110,-12558.75
111,-12860.0
112,-12795.0
113,-12591.5
114,-12629.0
115,-12781.75
116,-12813.5
117,-12644.5
118,-12533.5
119,-12541.5
120,-12448.0
121,-12693.5
122,-12837.0
123,-13052.0
124,-13177.25
125,-13140.5
126,-12625.25
127,-12072.25
128,-11747.5
129,-11587.75
130,-11984.25
131,-12392.5
132,-12222.75
133,-12464.25
134,-11990.25
